adduser                                 3.132
apt                                     2.6.0
base-files                              12.4
base-passwd                             3.6.1
bash                                    5.2.15-2+b2
bsdutils                                1:2.38.1-5+b1
ca-certificates                         20230311
coreutils                               9.1-1
curl                                    7.88.1-9
dash                                    0.5.12-2
debconf                                 1.5.82
debian-archive-keyring                  2023.3
debianutils                             5.7-0.4
diffutils                               1:3.8-4
dirmngr                                 2.2.40-1.1
dpkg                                    1.21.21
e2fsprogs                               1.47.0-2
file                                    1:5.44-3
findutils                               4.9.0-4
fontconfig                              2.14.1-4
fontconfig-config                       2.14.1-4
fonts-liberation                        1:1.07.4-11
fonts-urw-base35                        20200910-7
gcc-12-base                             12.2.0-14
gettext                                 0.21-12
gettext-base                            0.21-12
ghostscript                             10.0.0~dfsg-11
gnupg                                   2.2.40-1.1
gnupg-l10n                              2.2.40-1.1
gnupg-utils                             2.2.40-1.1
gosu                                    1.14-1+b6
gpg                                     2.2.40-1.1
gpg-agent                               2.2.40-1.1
gpg-wks-client                          2.2.40-1.1
gpg-wks-server                          2.2.40-1.1
gpgconf                                 2.2.40-1.1
gpgsm                                   2.2.40-1.1
gpgv                                    2.2.40-1.1
grep                                    3.8-5
gzip                                    1.12-1
hicolor-icon-theme                      0.17-2
hostname                                3.23+nmu1
icc-profiles-free                       2.0.1+dfsg-1.1
imagemagick                             8:6.9.11.60+dfsg-1.6
imagemagick-6-common                    8:6.9.11.60+dfsg-1.6
imagemagick-6.q16                       8:6.9.11.60+dfsg-1.6
init-system-helpers                     1.65.2
jbig2dec                                0.19-3
libacl1                                 2.3.1-3
libaom3                                 3.6.0-1
libapt-pkg6.0                           2.6.0
libarchive13                            3.6.2-1
libassuan0                              2.5.5-5
libatlas3-base                          3.10.3-13
libatomic1                              12.2.0-14
libattr1                                1:2.5.1-4
libaudit-common                         1:3.0.9-1
libaudit1                               1:3.0.9-1
libavahi-client3                        0.8-10
libavahi-common-data                    0.8-10
libavahi-common3                        0.8-10
libavcodec59                            7:5.1.2-3
libavformat59                           7:5.1.2-3
libavutil57                             7:5.1.2-3
libblkid1                               2.38.1-5+b1
